Reg No,name,City,address,zip,email,mobile no,blood group
5,Donette,Hyderabad,34 Center St,45011,donette.foller@cox.net,513-570-1893,AB +
13,Kiley,Kanpur,25 E 75th St #69,90034,kiley.caldarera@aol.com,310-498-5651,AB +
21,Bette,Vadodara,6 S 33rd St,19014,bette_nicka@cox.net,610-545-3615,AB +
29,Willow,Bhubaneshwar,90991 Thorburn Ave,10011,wkusko@yahoo.com,212-582-4976,AB +
37,Jose,Trivendram,128 Bransten Rd,10011,jose@yahoo.com,212-675-8570,AB +
45,Erick,Jodhpur,20 S Babcock St,99712,erick.ferencz@aol.com,907-741-1044,AB +
53,Sabra,Bangalore,98839 Hawthorne Blvd #6101,29201,sabra@uyetake.org,803-925-5213,AB +
61,Blondell,Lucknow,201 Hawk Ct,2904,bpugh@aol.com,401-960-8259,AB +
69,Ilene,Patna,2853 S Central Expy,21061,ilene.eroman@hotmail.com,410-914-9018,AB +
77,Laurel,Rajkot,6 Kains Ave,21215,laurel_reitler@reitler.com,410-520-4832,AB +
85,Lettie,Amritsar,70 W Main St,44122,lettie_isenhower@yahoo.com,216-657-7668,AB +
93,Danica,Vijayawada,840 15th Ave,76708,danica_bruschke@gmail.com,254-782-8569,AB +
101,Alease,Chennai,4 Webbs Chapel Rd,80303,alease@buemi.com,303-301-4946,AB +
109,Donte,Cochin,3 Aspen St,1602,dkines@hotmail.com,508-429-8576,AB +
117,Shawna,Noida,5 N Cleveland Massillon Rd,91362,shawna_palaspas@palaspas.org,805-275-3566,AB +
125,Herman,Meerut,9 Norristown Rd,12180,hdemesa@cox.net,518-497-2940,AB +
133,Kimbery,Dhanbad,798 Lund Farm Way,7866,kimbery_madarang@cox.net,973-310-1634,AB +
141,Melissa,Gwalior,61 13 Stoneridge #835,45840,melissa@cox.net,419-939-3613,AB +
149,Theola,Delhi,54169 N Main St,11758,theola_frey@frey.com,516-948-5768,AB +
157,Yolando,Jaipur,422 E 21st St,13214,yolando@cox.net,315-304-4759,AB +
165,Kerry,Visakhapatnam,6916 W Main St,95827,kerry.theodorov@gmail.com,916-591-3277,AB +
173,Eun,Faridabad,84 Bloomfield Ave,29301,eun@yahoo.com,864-256-3620,AB +
181,Marguerita,Aurangabad,82 N Highway 67,94561,marguerita.hiatt@gmail.com,925-634-7158,AB +
189,Merlyn,Jabalpur,4671 Alemany Blvd,7304,merlyn_lawler@hotmail.com,201-588-7810,AB +
197,Felicidad,Mumbai,9939 N 14th St,8077,fpoullion@poullion.com,856-305-9731,AB +
205,Ronny,Pune,73 Southern Blvd,19103,ronny.caiafa@caiafa.org,215-605-7570,AB +
213,Beckie,Bhopal,7116 Western Ave,48126,beckie.silvestrini@silvestrini.com,313-533-4884,AB +
221,Avery,Nashik,93 Redmond Rd #492,32803,avery@cox.net,407-808-9439,AB +
229,Leonida,Srinagar,5 Elmwood Park Blvd,39530,leonida@gobern.org,228-235-5615,AB +
